id,Title,Content,_wp_old_slug,project_type,_project_type,image_1,_image_1,image_2,_image_2,image_3,_image_3,image_4,_image_4,project_url,_project_url,_primary_term_category,litespeed_vpi_list,Categories,Tags,Clients,"Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text",Excerpt,Date,"Post Type",Permalink,Status,"Author ID","Author Username","Author Email","Author First Name","Author Last Name",Slug,Format,Template,Parent,"Parent Slug",Order,"Comment Status","Ping Status","Post Modified Date"
19,"Vinci's View Website","Lorem ipsum dolor",test-project|test-project|test-project|test-project|test-project,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,363,field_606b68dec5162,362,field_606b690ec5163,364,field_606b6910c5164,366,field_606b6912c5165,https://www.vincisviewtt.com,field_606f249b98d23,,,Websites,"Custom Theme|E-Commerce|WordPress","Vinci's View",https://marcstampfli.com/wp-content/uploads/project-vincisview-website.jpg|https://marcstampfli.com/wp-content/uploads/project-vincisview-website2.jpg|https://marcstampfli.com/wp-content/uploads/project-vincisview-website3.jpg|https://marcstampfli.com/wp-content/uploads/project-vincisview-website4.jpg|https://marcstampfli.com/wp-content/uploads/project-vincisview-website5.jpg,project-vincisview-website.jpg|project-vincisview-website2.jpg|project-vincisview-website3.jpg|project-vincisview-website4.jpg|project-vincisview-website5.jpg,/home/marcfrit/public_html/wp-content/uploads/project-vincisview-website.jpg|/home/marcfrit/public_html/wp-content/uploads/project-vincisview-website2.jpg|/home/marcfrit/public_html/wp-content/uploads/project-vincisview-website3.jpg|/home/marcfrit/public_html/wp-content/uploads/project-vincisview-website4.jpg|/home/marcfrit/public_html/wp-content/uploads/project-vincisview-website5.jpg,361|362|363|364|366,project-vincisview-website|project-vincisview-website2|project-vincisview-website3|project-vincisview-website4|project-vincisview-website5,||||,||||,||||,https://marcstampfli.com/wp-content/uploads/project-vincisview-website.jpg,,,,,,,,,,2021-04-01,project,https://marcstampfli.com/?post_type=project&p=19,draft,1,marc,marcstampfli@gmail.com,Marc,Stampfli,vincis-view-website,,,0,0,2,closed,closed,2022-10-03
38,"Lagoona Villa Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,379,field_606b68dec5162,380,field_606b690ec5163,382,field_606b6910c5164,,field_606b6912c5165,https://www.lagoonavilla.com/,field_606f249b98d23,,"a:1:{i:0;s:27:""project-lagoona-website.jpg"";}",Websites,WordPress,"Lagoona Villa",https://marcstampfli.com/wp-content/uploads/project-lagoona-website.jpg|https://marcstampfli.com/wp-content/uploads/project-lagoona-website2.jpg|https://marcstampfli.com/wp-content/uploads/project-lagoona-website3.jpg|https://marcstampfli.com/wp-content/uploads/project-lagoona-website4.jpg,project-lagoona-website.jpg|project-lagoona-website2.jpg|project-lagoona-website3.jpg|project-lagoona-website4.jpg,/home/marcfrit/public_html/wp-content/uploads/project-lagoona-website.jpg|/home/marcfrit/public_html/wp-content/uploads/project-lagoona-website2.jpg|/home/marcfrit/public_html/wp-content/uploads/project-lagoona-website3.jpg|/home/marcfrit/public_html/wp-content/uploads/project-lagoona-website4.jpg,378|379|380|382,project-lagoona-website|project-lagoona-website2|project-lagoona-website3|project-lagoona-website4,|||,|||,|||,https://marcstampfli.com/wp-content/uploads/project-lagoona-website.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/lagoona-villa-website/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,lagoona-villa-website,,,0,0,20,closed,closed,2021-04-10
39,"Tobago Housing Resorts Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,384,field_606b68dec5162,385,field_606b690ec5163,386,field_606b6910c5164,387,field_606b6912c5165,http://www.tobagohousingresorts.com/,field_606f249b98d23,,"a:1:{i:0;s:33:""project-tobagohousing-website.jpg"";}",Websites,"Modified Theme|WordPress","Tobago Housing Resorts",https://marcstampfli.com/wp-content/uploads/project-tobagohousing-website.jpg|https://marcstampfli.com/wp-content/uploads/project-tobagohousing-website2.jpg|https://marcstampfli.com/wp-content/uploads/project-tobagohousing-website3.jpg|https://marcstampfli.com/wp-content/uploads/project-tobagohousing-website4.jpg|https://marcstampfli.com/wp-content/uploads/project-tobagohousing-website5.jpg,project-tobagohousing-website.jpg|project-tobagohousing-website2.jpg|project-tobagohousing-website3.jpg|project-tobagohousing-website4.jpg|project-tobagohousing-website5.jpg,/home/marcfrit/public_html/wp-content/uploads/project-tobagohousing-website.jpg|/home/marcfrit/public_html/wp-content/uploads/project-tobagohousing-website2.jpg|/home/marcfrit/public_html/wp-content/uploads/project-tobagohousing-website3.jpg|/home/marcfrit/public_html/wp-content/uploads/project-tobagohousing-website4.jpg|/home/marcfrit/public_html/wp-content/uploads/project-tobagohousing-website5.jpg,383|384|385|386|387,project-tobagohousing-website|project-tobagohousing-website2|project-tobagohousing-website3|project-tobagohousing-website4|project-tobagohousing-website5,||||,||||,||||,https://marcstampfli.com/wp-content/uploads/project-tobagohousing-website.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/tobago-housing-resorts-website/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,tobago-housing-resorts-website,,,0,0,23,closed,closed,2021-04-10
40,"Gypsea Soul Jewelry Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,374,field_606b68dec5162,375,field_606b690ec5163,376,field_606b6910c5164,377,field_606b6912c5165,https://gypseasouljewelry.co/,field_606f249b98d23,,"a:1:{i:0;s:26:""project-gypsea-website.jpg"";}",Websites,"E-Commerce|Modified Theme|PayPal|WordPress","Gypsea Soul Jewelry",https://marcstampfli.com/wp-content/uploads/project-gypsea-website.jpg|https://marcstampfli.com/wp-content/uploads/project-gypsea-website2.jpg|https://marcstampfli.com/wp-content/uploads/project-gypsea-website3.jpg|https://marcstampfli.com/wp-content/uploads/project-gypsea-website4.jpg|https://marcstampfli.com/wp-content/uploads/project-gypsea-website5.jpg,project-gypsea-website.jpg|project-gypsea-website2.jpg|project-gypsea-website3.jpg|project-gypsea-website4.jpg|project-gypsea-website5.jpg,/home/marcfrit/public_html/wp-content/uploads/project-gypsea-website.jpg|/home/marcfrit/public_html/wp-content/uploads/project-gypsea-website2.jpg|/home/marcfrit/public_html/wp-content/uploads/project-gypsea-website3.jpg|/home/marcfrit/public_html/wp-content/uploads/project-gypsea-website4.jpg|/home/marcfrit/public_html/wp-content/uploads/project-gypsea-website5.jpg,373|374|375|376|377,project-gypsea-website|project-gypsea-website2|project-gypsea-website3|project-gypsea-website4|project-gypsea-website5,||||,||||,||||,https://marcstampfli.com/wp-content/uploads/project-gypsea-website.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/gypsea-soul-jewelry-website/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,gypsea-soul-jewelry-website,,,0,0,18,closed,closed,2021-04-10
43,"Lagoona Villa Flyer","Lagoona Villa Flyer description",auto-draft|auto-draft|auto-draft|auto-draft|auto-draft,flyer|flyer|flyer|flyer|flyer,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,56,"a:1:{i:0;s:25:""project-lagoona-flyer.gif"";}",Flyers,Photoshop,"Lagoona Villa",https://marcstampfli.com/wp-content/uploads/project-lagoona-flyer.gif,project-lagoona-flyer.gif,/home/marcfrit/public_html/wp-content/uploads/project-lagoona-flyer.gif,421,project-lagoona-flyer,,,,https://marcstampfli.com/wp-content/uploads/project-lagoona-flyer.gif,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/lagoona-villa-flyer/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,lagoona-villa-flyer,,,0,0,19,closed,closed,2021-04-10
64,"Johnny Rockets Bar Flyer",,,flyer|flyer|flyer|flyer|flyer,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,56,"a:1:{i:0;s:30:""project-johnnyrocket-flyer.gif"";}",Flyers,Photoshop,"Johnny Rockets Bar",https://marcstampfli.com/wp-content/uploads/project-johnnyrocket-flyer.gif,project-johnnyrocket-flyer.gif,/home/marcfrit/public_html/wp-content/uploads/project-johnnyrocket-flyer.gif,422,project-johnnyrocket-flyer,,,,https://marcstampfli.com/wp-content/uploads/project-johnnyrocket-flyer.gif,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/johnny-rockets-bar-flyer/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,johnny-rockets-bar-flyer,,,0,0,21,closed,closed,2021-04-10
65,"Night Owlz TT Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,260,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,,Websites,"Custom Theme|E-Commerce|WordPress","Night Owlz TT",https://marcstampfli.com/wp-content/uploads/2021/04/project-night.jpg,project-night.jpg,/home/marcfrit/public_html/wp-content/uploads/2021/04/project-night.jpg,260,project-night,,,,https://marcstampfli.com/wp-content/uploads/2021/04/project-night.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/?post_type=project&p=65,draft,1,marc,marcstampfli@gmail.com,Marc,Stampfli,night-owlz-tt-website,,,0,0,22,closed,closed,2021-04-10
66,"IOCL Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,389,field_606b68dec5162,390,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,http://www.iocltt.com/,field_606f249b98d23,,"a:1:{i:0;s:24:""project-iocl-website.jpg"";}",Websites,"Web Development",IOCL,https://marcstampfli.com/wp-content/uploads/project-iocl-website.jpg|https://marcstampfli.com/wp-content/uploads/project-iocl-website2.jpg|https://marcstampfli.com/wp-content/uploads/project-iocl-website3.jpg,project-iocl-website.jpg|project-iocl-website2.jpg|project-iocl-website3.jpg,/home/marcfrit/public_html/wp-content/uploads/project-iocl-website.jpg|/home/marcfrit/public_html/wp-content/uploads/project-iocl-website2.jpg|/home/marcfrit/public_html/wp-content/uploads/project-iocl-website3.jpg,388|389|390,project-iocl-website|project-iocl-website2|project-iocl-website3,||,||,||,https://marcstampfli.com/wp-content/uploads/project-iocl-website.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/iocl-website/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,iocl-website,,,0,0,24,closed,closed,2021-04-10
67,"LiPS Program Flyer",,,flyer|flyer|flyer|flyer|flyer,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,56,"a:1:{i:0;s:22:""project-lips-flyer.gif"";}",Flyers,Photoshop,"LiPS Program",https://marcstampfli.com/wp-content/uploads/project-lips-flyer.gif,project-lips-flyer.gif,/home/marcfrit/public_html/wp-content/uploads/project-lips-flyer.gif,423,project-lips-flyer,,,,https://marcstampfli.com/wp-content/uploads/project-lips-flyer.gif,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/lips-program-flyer/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,lips-program-flyer,,,0,0,29,closed,closed,2021-04-10
68,"Addict Gang Website",,,website|website|website|website|website,field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8|field_6066a779b22e8,413,field_606b68dec5162,,field_606b690ec5163,,field_606b6910c5164,,field_606b6912c5165,,field_606f249b98d23,,"a:1:{i:0;s:30:""project-addcitgang-website.jpg"";}",Websites,"Web Design|Web Development","Addict Gang",https://marcstampfli.com/wp-content/uploads/project-addcitgang-website.jpg|https://marcstampfli.com/wp-content/uploads/project-addcitgang-website2.jpg,project-addcitgang-website.jpg|project-addcitgang-website2.jpg,/home/marcfrit/public_html/wp-content/uploads/project-addcitgang-website.jpg|/home/marcfrit/public_html/wp-content/uploads/project-addcitgang-website2.jpg,412|413,project-addcitgang-website|project-addcitgang-website2,|,|,|,https://marcstampfli.com/wp-content/uploads/project-addcitgang-website.jpg,,,,,,,,,,2021-04-02,project,https://marcstampfli.com/project/addict-gang-website/,publish,1,marc,marcstampfli@gmail.com,Marc,Stampfli,addict-gang-website,,,0,0,30,closed,closed,2021-04-10
